Algoritmo,Base de Dados,Base de Dados Pesquisa,Tempo
Arvore AVL,3M desordenado,1M não repetidos,2.7450308430431806E7
Arvore AVL,3M desordenado,1M repetidos,1.8334475668265935E7
Arvore AVL,3M crescente,1M não repetidos,1.34681288553804E7
Arvore AVL,3M crescente,1M repetidos,1.1343385880740233E7
Arvore AVL,3M decrescente,1M não repetidos,2.326936257710761E7
Arvore AVL,3M decrescente,1M repetidos,1.3776559287183004E7
Arvore AVL,3M desordem 10 finais,1M não repetidos,3.111720356408499E7
Arvore AVL,3M desordem 10 finais,1M repetidos,1.706648389307745E7
Arvore AVL,3M desordem 10 iniciais,1M não repetidos,2.083618917066484E7
Arvore AVL,3M desordem 10 iniciais,1M repetidos,1.2131596984235778E7
